2016;20/08/2020;002;003;009;010;011;013;014;015;017;18;19;22;23;24;25;14.706.685,00;1;SAOLUIS\tMA;286;9675;110003;571748;943.821,08;988,50;25,00;10,00;5,00;0,00;1.500.000,00;79.881.089,91;
2015;19/08/2020;002;003;004;005;006;008;009;011;013;15;17;18;20;23;25;22.907.380,00;7;CANALELETRONICO\t--CURITIBA\tPRNITEROI\tRJESPUMOSO\tRSTORRES\tRSSAOBERNARDODOCAMPO\tSPSAOPAULO\tSP;675;16766;176005;882120;410.145,27;643,36;25,00;10,00;5,00;0,00;1.200.000,00;79.652.746,09;
2014;18/08/2020;003;004;006;007;008;009;010;015;016;17;18;19;22;23;25;15.117.017,50;0;;115;5384;80409;467968;0,00;2.591,29;25,00;10,00;5,00;1.421.218,53;3.500.000,00;79.301.988,41;
2013;17/08/2020;001;002;004;007;008;010;011;014;016;19;20;21;23;24;25;23.663.052,50;5;GOIANIA\tGOSAOLUIS\tMAPINHAIS\tPRAVARE\tSPSAOPAULO\tSP;578;16161;169887;825856;547.050,76;905,44;25,00;10,00;5,00;0,00;1.500.000,00;78.958.145,21;
2012;15/08/2020;001;003;004;006;009;010;012;015;016;17;18;20;22;24;25;12.305.697,50;0;;241;7110;81404;413212;0,00;1.228,07;25,00;10,00;5,00;988.074,72;2.500.000,00;78.535.440,58;
2011;14/08/2020;001;005;007;010;011;013;016;018;019;20;21;22;23;24;25;21.770.065,00;4;SAOJOAOEVANGELISTA\tMGBELEM\tPAALTOPARANA\tPRCOTIA\tSP;342;13118;153797;853049;358.718,16;1.256,72;25,00;10,00;5,00;0,00;1.200.000,00;78.296.390,24;
2010;13/08/2020;002;003;004;005;006;010;011;012;016;19;20;21;22;24;25;19.785.290,00;1;LAGOASANTA\tMG;342;12050;134204;700041;4.007.314,75;1.305,10;25,00;10,00;5,00;0,00;1.500.000,00;77.949.243,62;
2009;12/08/2020;001;002;003;004;005;007;012;013;015;16;17;19;20;22;24;29.327.337,50;4;ITABUNA\tBABELOHORIZONTE\tMGRIBEIRAOPRETO\tSPSAOPEDRO\tSP;469;16185;208064;1093620;1.268.071,61;1.319,41;25,00;10,00;5,00;2.276.866,93;3.500.000,00;77.588.733,65;
2008;11/08/2020;002;003;005;006;008;010;011;012;013;14;15;17;21;23;25;19.247.000,00;0;;413;13412;142149;732315;0,00;920,76;25,00;10,00;5,00;3.006.430,90;5.000.000,00;77.088.929,89;
2007;10/08/2020;001;003;005;006;010;011;015;016;017;18;19;20;21;22;24;20.215.780,00;0;;185;9287;119091;667681;0,00;1.968,58;25,00;10,00;5,00;1.736.889,98;3.000.000,00;76.781.782,89;
2006;08/08/2020;001;002;004;005;007;008;010;013;017;19;20;21;23;24;25;11.729.390,00;1;ARAPEI\tSP;219;8576;96524;468275;678.635,19;928,20;25,00;10,00;5,00;0,00;1.500.000,00;76.361.567,57;
2005;07/08/2020;003;006;008;009;011;012;013;015;017;18;19;21;22;24;25;22.174.617,50;1;FRANCA\tSP;379;11494;139636;779227;1.750.257,63;1.383,30;25,00;10,00;5,00;0,00;1.200.000,00;76.197.381,62;
2004;06/08/2020;001;003;004;008;010;011;012;013;014;15;18;19;21;22;25;14.344.860,00;1;BELOHORIZONTE\tMG;145;6564;82173;475541;1.239.053,43;1.791,74;25,00;10,00;5,00;0,00;1.500.000,00;75.773.932,18;
2003;05/08/2020;001;005;006;007;008;009;010;011;012;15;17;20;22;24;25;20.643.025,00;1;LAGOASANTA\tMG;289;10037;134658;720698;1.626.526,25;1.685,84;25,00;10,00;5,00;0,00;1.200.000,00;75.474.161,19;
2002;04/08/2020;002;003;005;008;010;012;013;014;016;17;18;19;20;24;25;12.956.847,50;1;APARECIDA\tSP;124;6157;83386;467996;993.438,32;1.679,85;25,00;10,00;5,00;0,00;1.200.000,00;75.080.646,76;
2001;03/08/2020;001;002;003;006;007;009;010;011;016;17;19;20;21;22;25;28.896.450,00;1;JATAI\tGO;288;10884;147755;885172;2.756.377,87;2.006,77;25,00;10,00;5,00;0,00;1.500.000,00;74.840.298,78;
